,title,views, data_time,video_link,thumbnail_link
93,"JAVA Backend Live Classes | Master OOPs, Spring Boot & Practice with Projects | GeeksforGeeks",1M views,4 months ago,https://www.youtube.com/watch?v=y5sN2D4Zkmo,https://i.ytimg.com/vi/y5sN2D4Zkmo/hqdefault.jpg
94,How to participate and win any Hackathon - A Complete Guide | What are Hackathons? | Top 5 Hackathon,4K views,4 months ago,https://www.youtube.com/watch?v=_yNtUwnvHio,https://i.ytimg.com/vi/_yNtUwnvHio/hqdefault.jpg
95,Do this to get a 15+ LPA job right after BCA!! | BCA VS BTECH | Is BCA worth it in 2024?,2.1K views,4 months ago,https://www.youtube.com/watch?v=w95555WsTMI,https://i.ytimg.com/vi/w95555WsTMI/hqdefault.jpg
96,Happening this Month at GeeksforGeeks Noida Center! | GfG Offline Classes,705 views,4 months ago,https://www.youtube.com/watch?v=ZTvTaINuLGk,https://i.ytimg.com/vi/ZTvTaINuLGk/hqdefault.jpg
97,GeeksforGeeks Full Stack LIVE Classes | With Projects | Learn Full Stack Development in 14 Weeks,208K views,4 months ago,https://www.youtube.com/watch?v=G5lsLsK9evc,https://i.ytimg.com/vi/G5lsLsK9evc/hqdefault.jpg
98,Do this to crack Placements in just 30 days | *Free Resources*,24K views,4 months ago,https://www.youtube.com/watch?v=zicelfDj-i8,https://i.ytimg.com/vi/zicelfDj-i8/hqdefault.jpg
99,💸 How to become a Graphic Designer in 2024? | Complete Graphic Designer Roadmap,884 views,4 months ago,https://www.youtube.com/watch?v=GF2CQAP4Va0,https://i.ytimg.com/vi/GF2CQAP4Va0/hqdefault.jpg
100,DYNAMIC PROGRAMMING PRACTICE PROBLEM | DSA Course | GeeksforGeeks,1.3K views,4 months ago,https://www.youtube.com/watch?v=5Bfjt3oY564,https://i.ytimg.com/vi/5Bfjt3oY564/hqdefault.jpg
101,Can these College students win 6000rs by answering easy coding questions?| GeeksforGeeks Premium,1.8K views,4 months ago,https://www.youtube.com/watch?v=JtLJyMeHxLk,https://i.ytimg.com/vi/JtLJyMeHxLk/hqdefault.jpg
102,Create a 3D AI Website using Three.js | Frontend Projects | GeeksforGeeks,3.6K views,4 months ago,https://www.youtube.com/watch?v=rq67tD6OYXc,https://i.ytimg.com/vi/rq67tD6OYXc/hqdefault.jpg
103,React Native VS Flutter | I analysed the app development market for both,2.5K views,4 months ago,https://www.youtube.com/watch?v=2keMefdv9s4,https://i.ytimg.com/vi/2keMefdv9s4/hqdefault.jpg
104,Quick Sort: Auxiliary Space Explained in 8 Minutes! | Lecture - 25 | GeeksforGeeks,731 views,4 months ago,https://www.youtube.com/watch?v=47dzZ_58vIw,https://i.ytimg.com/vi/47dzZ_58vIw/hqdefault.jpg
105,Learn QUICK SORT ANALYSIS in 10 MINUTES | Lecture - 24 | GeeksforGeeks,732 views,4 months ago,https://www.youtube.com/watch?v=8VYD2q8dDFU,https://i.ytimg.com/vi/8VYD2q8dDFU/hqdefault.jpg
106,Top Interview Tips for Fresh Graduates in 2024 | GeeksforGeeks,3.2K views,4 months ago,https://www.youtube.com/watch?v=aoBD3t-bFLo,https://i.ytimg.com/vi/aoBD3t-bFLo/hqdefault.jpg
107,GeeksforGeeks Classroom Program | Noida | Pune | Bengaluru,1.2K views,5 months ago,https://www.youtube.com/watch?v=zPHy8Ruso5k,https://i.ytimg.com/vi/zPHy8Ruso5k/hqdefault.jpg
108,Is Engineering (B.Tech) Worth it in 2024? | Harsh Reality,1.5K views,5 months ago,https://www.youtube.com/watch?v=Qt1xh3R_1_Y,https://i.ytimg.com/vi/Qt1xh3R_1_Y/hqdefault.jpg
109,Hoare Partition Quick Sort - PART II | Sorting Playlist | Lecture - 23 | GeeksforGeeks,563 views,5 months ago,https://www.youtube.com/watch?v=pNDNomHBDZk,https://i.ytimg.com/vi/pNDNomHBDZk/hqdefault.jpg
110,Why you will never become a Programmer? | Placements | Honest reality | GfG,5K views,5 months ago,https://www.youtube.com/watch?v=pM1sSCio0WE,https://i.ytimg.com/vi/pM1sSCio0WE/hqdefault.jpg
111,Learn Lomuto Partition in Quick Sort | Lecture - 22 | GeeksforGeeks,790 views,5 months ago,https://www.youtube.com/watch?v=R-LMKBKPTok,https://i.ytimg.com/vi/R-LMKBKPTok/hqdefault.jpg
112,How I would learn Data Engineering in 2024 (If I could start over) | Complete Roadmap |,1.7K views,5 months ago,https://www.youtube.com/watch?v=XTbyBW8Yh9U,https://i.ytimg.com/vi/XTbyBW8Yh9U/hqdefault.jpg
113,Introduction to Quick Sort | Sorting Playlist | Lecture - 21 | GeeksforGeeks,1.8K views,5 months ago,https://www.youtube.com/watch?v=SN8jC7Nb-Os,https://i.ytimg.com/vi/SN8jC7Nb-Os/hqdefault.jpg
114,Big Companies vs Startups | Which one should you choose in 2024? | Startups | MNC'S,996 views,5 months ago,https://www.youtube.com/watch?v=gkCKp0BgAy4,https://i.ytimg.com/vi/gkCKp0BgAy4/hqdefault.jpg
115,Hoare Partition Quick Sort | Lecture - 20 | GeeksforGeeks,2.6K views,5 months ago,https://www.youtube.com/watch?v=NsY5UI0RZfE,https://i.ytimg.com/vi/NsY5UI0RZfE/hqdefault.jpg
116,GATE vs Placements🧑‍💻| Which one to choose after graduation? 🤔 | GATE | Engineering | GFG,1K views,5 months ago,https://www.youtube.com/watch?v=N42PuoXkjgA,https://i.ytimg.com/vi/N42PuoXkjgA/hqdefault.jpg
117,Futuristic Marvel Technologies that will blow your mind | Marvel | Metaverse | GFG,642 views,5 months ago,https://www.youtube.com/watch?v=1C5qpMkfeNw,https://i.ytimg.com/vi/1C5qpMkfeNw/hqdefault.jpg
118,Learn Lomuto Partition | Lecture - 19 | GeeksforGeeks,1.8K views,5 months ago,https://www.youtube.com/watch?v=xew1z47P6OM,https://i.ytimg.com/vi/xew1z47P6OM/hqdefault.jpg
